IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.17.22.82,4,4,0.00,170.31,0.00,HKG
104.18.232.136,4,4,0.00,180.53,0.00,HKG
104.16.57.99,4,4,0.00,210.50,0.00,SEA
104.16.201.26,4,4,0.00,219.44,0.00,SJC
162.159.36.232,4,4,0.00,221.29,0.00,LAX
104.21.81.186,4,4,0.00,226.15,0.00,SJC
104.16.219.87,4,4,0.00,241.87,0.00,SJC
104.17.115.78,4,4,0.00,279.00,0.00,HKG
162.159.198.128,4,4,0.00,325.04,0.00,LAX
104.16.230.41,4,4,0.00,365.81,0.00,SJC
104.16.153.106,4,4,0.00,368.50,0.00,HKG
104.16.5.177,4,4,0.00,372.73,0.00,HKG
104.18.196.36,4,4,0.00,531.68,0.00,SJC
